Start Time,End Time,Annotation,Tags (vertical bar separated)
"00:00:00","00:00:00","La bomba no es solo música,
es la tierra hecha sonido,
un latido que llegó de África
y floreció en Puerto Rico.<br>Un diálogo entre tambor, cuerpo y la voz colectiva,
cada paso y cada golpe en el tambor
nos recuerda que estamos conectados
con el pasado y con el futuro.<br>Una tradición nacida de la resistencia,
que hoy sigue siendo una celebración de la libertad.
Cada pueblo de Puerto Rico
expresa la bomba a su manera.<br>Los ritmos laten en la arena,
un diálogo improvisado donde el cuerpo ordena
y la música obedece.<br>Los ritmos se mezclan con el carnaval
y la energía del pueblo.
Los vejigantes, mitad enigmáticos,
tallados por artesanos y pintados con colores vibrantes,
no son disfraces,
son espíritus del Caribe.<br>Despiertan la memoria ancestral de nuestro pueblo,
son guardianes de la cultura,
símbolos de resistencia que encarnan
la eterna batalla contra lo oscuro.<br>En cada máscara arde la fuerza de un pueblo
que transforma el miedo en poder
y la lucha en celebración.<br>El baile de bomba es fuerza, tensión y libertad.
La bomba es unión:
une a pueblos y a generaciones,
orgullo cultural afro-boricua.<br>Cuando el ritmo llama,
toda la comunidad responde.<br>

","resistance"
"00:03:30","00:06:05","<b>&quot;Besito en la frente&quot;</b><br>Qué bendición lo que estoy viendo<br>Ya está amaneciendo<br>La luz en tu piel me está pidiendo<br>Que te lo haga lento<br>Ma, tú no entiendes cuánto tú me gustas<br>Cuando bajas, me subes al cielo<br>Una vida sin ti yo no quiero<br>Pensar en no tenerte me asusta, eh<br>Un besito en la frente<br>Por to lo que se vivió<br>Y si este momento nunca vuelve<br>Sé que no se desperdició<br>Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh<br>Somos eternos tú y yo<br>Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh<br>Eternos (Ra-Rauw)<br>Ey, mami, tu alma es libre como primavera<br>Pa nuestro amor no existe frontera<br>Amarrao a ti como cuero y madera<br>Suena el barril, morena<br>Baila, que el calor te suelte la tela<br>No nos vamos hasta que los pies nos duelan<br>Danzando en tu areíto<br>Tierra prometida, quieres que me quede<br>El agua de tu flor hace que yo me eleve<br>Y al cielo llegue<br>Se me cierra hasta el pecho<br>El día que no estés que nunca llegue<br>Si tú te vas, que el fuego me queme<br>Que el fuego me queme<br>Ma, tú no entiendes cuánto tú me gustas<br>Cuando bajas, me subes al cielo<br>Una vida sin ti yo no quiero<br>Pensar en no tenerte me asusta, eh<br>Un besito en la frente<br>Por to lo que se vivió<br>Y si este momento nunca vuelve<br>Sé que no se desperdició<br>Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh<br>Somos eternos tú y yo<br>Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh<br>Eternos<br>","lyrics"
"00:06:05","00:06:23","Coqui sounds, thunder, and rain are heard as final credits roll. (soundscape)",
