Start Time,End Time,Annotation,Tags (vertical bar separated)
"00:00:00","00:00:00","La bomba no es solo música,
es la tierra hecha sonido,
un latido que llegó de África
y floreció en Puerto Rico.<br>Un diálogo entre tambor, cuerpo y la voz colectiva,
cada paso y cada golpe en el tambor
nos recuerda que estamos conectados
con el pasado y con el futuro.<br>Una tradición nacida de la resistencia,
que hoy sigue siendo una celebración de la libertad.
Cada pueblo de Puerto Rico
expresa la bomba a su manera.<br>Los ritmos laten en la arena,
un diálogo improvisado donde el cuerpo ordena
y la música obedece.<br>Los ritmos se mezclan con el carnaval
y la energía del pueblo.
Los vejigantes, mitad enigmáticos,
tallados por artesanos y pintados con colores vibrantes,
no son disfraces,
son espíritus del Caribe.<br>Despiertan la memoria ancestral de nuestro pueblo,
son guardianes de la cultura,
símbolos de resistencia que encarnan
la eterna batalla contra lo oscuro.<br>En cada máscara arde la fuerza de un pueblo
que transforma el miedo en poder
y la lucha en celebración.<br>El baile de bomba es fuerza, tensión y libertad.
La bomba es unión:
une a pueblos y a generaciones,
orgullo cultural afro-boricua.<br>Cuando el ritmo llama,
toda la comunidad responde.<br>

","resistance"
"00:03:30","00:06:05","<i><b>&quot;Besito en la frente&quot;</b></i><br><i>Qué bendición lo que estoy viendo</i><br><i>Ya está amaneciendo</i><br><i>La luz en tu piel me está pidiendo</i><br><i>Que te lo haga lento</i><br><i>Ma, tú no entiendes cuánto tú me gustas</i><br><i>Cuando bajas, me subes al cielo</i><br><i>Una vida sin ti yo no quiero</i><br><i>Pensar en no tenerte me asusta, eh</i><br><i>Un besito en la frente</i><br><i>Por to lo que se vivió</i><br><i>Y si este momento nunca vuelve</i><br><i>Sé que no se desperdició</i><br><i>Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh</i><br><i>Somos eternos tú y yo</i><br><i>Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh</i><br><i>Eternos (Ra-Rauw)</i><br><i>Ey, mami, tu alma es libre como primavera</i><br><i>Pa nuestro amor no existe frontera</i><br><i>Amarrao a ti como cuero y madera</i><br><i>Suena el barril, morena</i><br><i>Baila, que el calor te suelte la tela</i><br><i>No nos vamos hasta que los pies nos duelan</i><br><i>Danzando en tu areíto</i><br><i>Tierra prometida, quieres que me quede</i><br><i>El agua de tu flor hace que yo me eleve</i><br><i>Y al cielo llegue</i><br><i>Se me cierra hasta el pecho</i><br><i>El día que no estés que nunca llegue</i><br><i>Si tú te vas, que el fuego me queme</i><br><i>Que el fuego me queme</i><br><i>Ma, tú no entiendes cuánto tú me gustas</i><br><i>Cuando bajas, me subes al cielo</i><br><i>Una vida sin ti yo no quiero</i><br><i>Pensar en no tenerte me asusta, eh</i><br><i>Un besito en la frente</i><br><i>Por to lo que se vivió</i><br><i>Y si este momento nunca vuelve</i><br><i>Sé que no se desperdició</i><br><i>Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh</i><br><i>Somos eternos tú y yo</i><br><i>Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh</i><br><i>Eternos</i><br>","lyrics"
"00:06:05","00:06:23","Coqui sounds, thunder, and rain are heard as final credits roll. (soundscape)",
