Start Time,End Time,Annotation,Tags (vertical bar separated)
"00:00:00","00:05:40","<b>Context: </b>Dances in couples or choreographed<br><br><br><br><br>","add context|cuembé/güembé|Esta es la domine"
"00:04:54","00:00:00","<b>Style:</b> Bomba danced in couples<br><b>Email: </b>Ivan Davila<br>https://nuestrostambores.com/artesanos-y-musicos/ivan-davila/ ",
"00:06:03","00:07:46","<b>Title: </b>&quot;Son mas divina&quot; <br><br>","sicá"
"00:08:00","00:16:05","<b>&quot;Petronila Guilbe&quot;</b><br>Petronila Guilbe yo no declaré, yo no declaré, yo no declaré<br><b>[Coro]</b>
Petronila Guilbe yo no declaré,<br><b>[verso]</b><br>Ay que yo no declaré, que yo no declaré<br>Ay preguntarle al cura, preguntaselo al juez<br>Ay que suenan los tambores que tocaba Manuel<br>Ay que Petronila Guilbe, que yo no declaré<br>Ay cantando dulce bomba, me voy pa&#x27; Mayaguez

<br><b></b><br><br>","bomba|yubá"
"00:16:44","00:21:52","La Boru cana",
