Start Time,End Time,Annotation,Tags (vertical bar separated)
"00:04:36","00:00:00","Orchestral or diegetic music<br>Christopher Columbus",
"00:08:14","00:00:00","Discusses plantations and slavery",
"00:13:18","00:00:00","Zafra means sugarcane harvest (Martinez)",
"00:14:03","00:22:14","<b> &quot;</b>Colonia&quot;<br>Colonia, colonia <br>Lleva la cana, lejenio<br>Morir de hambre <br>a los hombres <br>a reciben sus salarios <br>moriendo <br>colonia, colonia <br>lleva la cana llejeno <br>Colonia, colonia<br>lleva la cana llejeno ","lyrics|Don Rafael Cepeda Atiles"
