Start Time,End Time,Annotation,Tags (vertical bar separated)
"00:02:41","00:00:00","<b>&quot;Cancion sin Miedo&quot; - Barrileras de 8m </b><br><b>Verso</b><br>Que tiemble el estaba los cielos, las calles que teman los fuertes y los oficiales<br> hoy a las mujeres nos quitan la calma no sembraron miedo nos crecieron alas<br><br>A cada minuto de cada semana nosotros van a amigas dos mamas hermanas de estos tantos cuerpos los desaparecen no olvidan sus nombres por favor senor governante <br><br>Por las lides estas luchando en penuelos por las que resisten con fuerza en playuela <br>agauntando en Maria por todas las madres contra la marina <br>Coro<br>Ganado sin miedo <br>pedimos justicia <br>gritamos por cada desaparecida y <br>nos queremos vda <br>que caga con fuerza <br>el feminicida!<br><b>Verso 2 </b><br>yo todo lo incedio, yo todo lo reomo si un dia algun fulano <br>te apaga los ojos <br>ya nada me calla ya todo me sobra<br>si tocan a una <br><br><br><br>","Marien Torres Lopez"
"00:02:50","00:00:00","@Marielle de Leon (Martinez); trans-rights political activist",
