Start Time,End Time,Annotation,Tags (vertical bar separated)
"00:00:00","00:04:58","<i><b>&quot;Estoy Buscando un Arbol que me de sombra&quot; - Don Rafael Cepeda Atiles</b></i><br/><i>Estoy buscando un árbol que me de sombra</i><br/><i>Que me de sombra que me de sombra</i><br/><i>Estoy buscando un árbol que me de sombra</i><br/><i>Porque es que tengo calor a mi me da</i><br/><i>Estoy buscando un árbol que me de sombra</i><br/><i>¡Ay! Que si está lindo que me deje besar</i><br/><i>Estoy buscando un árbol que me de sombra</i><br/><i>¡Ay! Que si está bueno en mi soledad</i><br/><i>Estoy buscando un árbol que me de sombra</i><br/><i>¡Ay! Que sea muy lindo como el Guilán Guilán</i><br/><i>Estoy buscando un árbol que me de sombra</i><br/><i>Que no me deje que tenga piedad</i><br/><i>Estoy buscando un árbol que me de sombra</i><br/><i>Que de el sol me pueda tapar</i>","bomba|Margarita Sánchez Cepeda|Don Rafael Cepeda Atiles"
"00:18:21","00:00:00","<i><b>“Plere Maria” </b></i><br/><i><b>[Coro]</b></i><br/><i>Plere Maria, pleré, plere Maria, pleré.</i><br/><i>Plere Maria pleré, Catalina la Reina Cuembé.</i><br/><i>[verso]</i><br/><i>Ayer yo estaba en la Bomba, en casa Rosa Inés, pidiendo toditos golpe, y Plere Maria, pleré.</i><br/><i>Ya llegaba Eustacio Flores, y llegaba Andres Laguer, y estuvo Papo y le dice Plere María, pleré.</i><br/><i>Ya llega Gloria a la puerta, y llega a la fiesta Belén, cantando coros y alegre, fiesta todos Pleré Belén.</i><br/><i><b>[coro]</b></i><br/><i>Plere Maria, pleré, plere Maria, pleré.</i><br/><i>Plere Maria pleré, Catalina la Reina de mi Cuembé.</i>","bomba|cuembé/güembé"
"00:24:08","00:29:24",,"yubá|bomba"
"00:35:22","00:36:00","<i><b>“Viento”</b></i><br/><i>Viento, llévatelo a la mar!</i><br/><i><b>(Coro)</b></i><br/><i>Viento</i><br/><i><b>[verso]</b></i><br/><i>llévatelo a la mar!</i><br/><i>Llévatelo pa’ allá!</i><br/><i>Llévate la maldad!</i><br/><i>Ay yo me voy de acá!</i><br/><i>Ay me voy a resguardar!</i><br/><i>Lo que quiero es cantar!</i><br/><i>Lo que quiero es bailar!</i><br/><i>llévatelo a la mar!</i><br/><i>Llévatelo pa’ allá!</i>","bomba|sicá"
"00:37:17","00:00:00","<i><b>Agua na ma</b></i>","bomba"
"00:44:53","00:47:00","&quot;sigue&quot;","bomba|Barbara Cepeda"
"00:49:17","00:56:00","<i><b>&quot;Agua Tile&quot;</b></i><br/><i><b>[coro] </b></i><br/><i>Agua Tile, Agua tile </i><br/><i>Si Loiza no tiene, no se porque </i><br/><i>Que repica barrile, agua tile</i><br/><i></i>","bomba"
